Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
ABEL A|85,80|-36,31|19,0|19,0|?
ABEL B|82,60|-36,72|41,0|41,0|?
ABEL C|81,41|-36,13|31,0|31,0|?
ABEL D|86,45|-37,67|30,0|30,0|?
ABEL E|84,44|-37,54|13,0|13,0|?
ABEL J|79,87|-36,20|11,0|11,0|?
ABEL K|77,46|-34,69|9,0|9,0|?
ABEL L|82,39|-34,55|67,0|67,0|?
ABEL M|83,52|-32,38|81,0|81,0|?
ABENEZRA|11,89|-20,99|41,0|42,0|3730
ABENEZRA A|10,44|-22,79|23,0|23,0|?
ABENEZRA B|10,06|-20,82|14,0|14,0|?
ABENEZRA C|11,09|-21,37|44,0|44,0|?
ABENEZRA D|9,65|-21,76|8,0|8,0|?
ABENEZRA E|9,40|-21,46|14,0|14,0|?
ABENEZRA F|10,34|-21,58|7,0|7,0|?
ABENEZRA P|9,85|-20,02|44,0|44,0|?
ABETTI|27,82|20,11|17,0|17,0|?
ABULFEDA|13,91|-13,87|63,0|62,0|3110
ABULFEDA A|10,75|-16,43|14,0|14,0|?
ABULFEDA B|16,37|-14,51|15,0|15,0|?
ABULFEDA BA|16,80|-14,69|13,0|13,0|?
ABULFEDA C|10,83|-12,79|17,0|17,0|?
ABULFEDA D|9,46|-13,25|20,0|20,0|?
ABULFEDA E|10,14|-16,76|6,0|6,0|?
ABULFEDA F|13,07|-16,19|13,0|13,0|?
ABULFEDA G|8,94|-13,10|7,0|7,0|?
ABULFEDA K|10,58|-14,92|10,0|10,0|?
ABULFEDA M|12,06|-16,23|10,0|10,0|?
ABULFEDA N|12,20|-15,14|14,0|14,0|?
ABULFEDA O|11,16|-15,47|7,0|7,0|?
ABULFEDA R|12,97|-12,79|7,0|7,0|?
ABULFEDA T|13,71|-14,86|7,0|7,0|?
ABULFEDA U|13,80|-12,97|6,0|6,0|?
ABULFEDA X|13,99|-15,01|6,0|6,0|?
ACOSTA|60,14|-5,65|13,0|13,0|1750
ADAMS|68,39|-31,89|66,0|66,0|?
ADAMS B|65,70|-31,54|28,0|28,0|?
ADAMS C|65,54|-32,35|10,0|10,0|?
ADAMS D|71,45|-32,41|42,0|42,0|?
ADAMS M|69,33|-34,73|24,0|24,0|?
ADAMS P|70,91|-35,15|24,0|24,0|?
AGATHARCHIDES|-31,11|-19,85|50,0|49,0|1180
Agatharchides 1|-31,50|-16,86|60,0|60,0|?
AGATHARCHIDES A|-28,46|-23,27|16,0|16,0|?
AGATHARCHIDES B|-31,71|-21,52|7,0|7,0|?
AGATHARCHIDES C|-32,94|-22,06|12,0|12,0|?
AGATHARCHIDES E|-33,19|-20,74|15,0|15,0|?
AGATHARCHIDES F|-31,86|-20,26|6,0|6,0|?
AGATHARCHIDES G|-26,84|-20,17|6,0|6,0|?
AGATHARCHIDES H|-33,95|-20,41|15,0|15,0|?
AGATHARCHIDES J|-32,61|-21,62|13,0|13,0|?
AGATHARCHIDES K|-27,53|-21,08|11,0|11,0|?
AGATHARCHIDES L|-26,79|-21,12|8,0|8,0|?
AGATHARCHIDES N|-29,72|-21,09|22,0|22,0|?
AGATHARCHIDES P|-28,77|-20,30|66,0|66,0|?
AGRIPPA|10,47|4,10|46,0|46,0|3100
AGRIPPA D|6,72|3,77|20,0|20,0|?
AGRIPPA F|11,37|4,30|6,0|6,0|?
AGRIPPA G|6,16|3,91|13,0|13,0|?
AGRIPPA H|10,70|4,75|6,0|6,0|?
AGRIPPA S|8,89|5,28|32,0|32,0|?
AIRY|5,61|-18,14|36,0|37,0|?
AIRY A|7,64|-17,05|13,0|13,0|?
AIRY B|8,46|-17,67|29,0|29,0|?
AIRY C|4,77|-19,25|34,0|34,0|?
AIRY D|8,34|-18,13|7,0|7,0|?
AIRY E|7,55|-20,75|38,0|38,0|?
AIRY G|6,96|-18,70|25,0|25,0|?
AIRY H|5,69|-18,74|9,0|9,0|?
AIRY L|7,54|-20,47|6,0|6,0|?
AIRY N|8,18|-17,85|8,0|8,0|?
AIRY P|8,35|-15,88|7,0|7,0|?
AIRY R|8,78|-19,60|7,0|7,0|?
AIRY T|9,38|-19,27|40,0|40,0|?
AKIS|-31,76|20,01|2,3|2,3|
AL-BAKRI|20,25|14,34|12,0|12,0|1000
AL-MARRAKUSHI|55,77|-10,45|8,0|8,0|1110
ALAN|-6,17|-10,93|1,4|1,4|
ALBATEGNIUS|4,01|-11,24|136,0|136,0|3900
Albategnius 1|5,26|-6,72|8,0|8,0|?
ALBATEGNIUS A|3,03|-9,34|7,0|7,0|?
ALBATEGNIUS B|4,03|-10,07|20,0|20,0|?
ALBATEGNIUS C|3,71|-10,33|6,0|6,0|?
ALBATEGNIUS D|7,14|-11,36|9,0|9,0|?
ALBATEGNIUS E|6,38|-12,95|14,0|14,0|?
ALBATEGNIUS G|1,89|-9,46|15,0|15,0|?
ALBATEGNIUS H|5,16|-9,66|11,0|11,0|?
ALBATEGNIUS J|6,19|-11,14|7,0|7,0|?
ALBATEGNIUS K|2,00|-9,90|10,0|10,0|?
ALBATEGNIUS L|6,31|-12,08|8,0|8,0|?
ALBATEGNIUS M|4,16|-8,92|9,0|9,0|?
ALBATEGNIUS N|4,54|-9,89|9,0|9,0|?
ALBATEGNIUS S|6,05|-13,35|6,0|6,0|?
ALBATEGNIUS T|6,06|-12,66|9,6|9,6|
ALBERT|-35,00|38,30|0,1|0,1|
ALEXANDER|13,69|40,25|83,0|82,0|?
Alexander 1|13,44|40,39|17,0|17,0|?
Alexander Q 1|17,02|35,59|4,0|4,0|?
Alexander Q 2|17,41|36,02|8,0|8,0|?
ALFRAGANUS|18,97|-5,42|22,0|21,0|3830
ALFRAGANUS A|20,32|-3,05|13,0|13,0|?
ALFRAGANUS C|18,09|-6,13|11,0|11,0|?
ALFRAGANUS D|20,14|-4,05|8,0|8,0|?
ALFRAGANUS F|20,84|-3,54|9,0|9,0|?
ALFRAGANUS G|21,23|-2,67|6,0|6,0|?
ALFRAGANUS H|19,16|-4,36|13,0|13,0|?
ALHAZEN|71,83|15,91|33,0|33,0|?
ALHAZEN A|74,30|16,17|14,0|14,0|?
ALHAZEN D|75,17|19,68|33,0|33,0|?
ALIACENSIS|5,13|-30,60|80,0|80,0|3700
ALIACENSIS A|7,39|-29,71|14,0|14,0|?
